,background,body,spikes,roar,eyes,hats,elements
626,background-purple2,body-blue,spikes,roar-pink,eyes-glasses3,elements-crown,elements-planet
627,background-green,body-red,spikes,roar-tongue2,eyes-glasses1,elements-bluehat,elements-planet
628,background-fgdarkblue,body-yellow,spikes,roar-blue3,eyes-1,elements-halo,elements-firetail
629,background-purple2,body-cyan,spikes,roar-fire,eyes-glasses5,elements-greenhat,elements-planet
630,background-lines,body-purple,spikes,roar-mask,eyes-2,elements-horn,elements-firetail
631,background-purple2,body-pink,spikes,roar-blue2,eyes-2,elements-greenhat,elements-firetail
632,background-orange,body-purple,spikes,roar-pink,eyes-tear,elements-crown,elements-planet
633,background-yellow,body-red,spikes,roar-tongue,eyes-3,elements-flower1,elements-flower
634,background-fgdarkblue,body-pink2,spikes,roar-mask,eyes-glasses7,elements-crown,elements-firetail
635,background-cloud,body-blue,spikes,roar-drool,eyes-3,elements-greenhat,elements-firetail
636,background-red2,body-pink,spikes,roar-tongue,eyes-glasses4,elements-greenhat,elements-flower
637,background-purple2,body-cyan,spikes,roar-tongue2,eyes-glasses6,elements-flower1,elements-planet
638,background-lines,body-pink,spikes,roar-rainbow,eyes-glasses3,elements-bluehat,elements-firetail
639,background-yellow,body-green,spikes,roar-fire,eyes-glasses3,elements-crown,elements-flower
640,background-themed,body-purple,spikes,roar-drool,eyes-glasses1,elements-flower1,elements-firetail
641,background-cloud,body-orange,spikes,roar-tongue2,eyes-2,elements-bluehat,elements-flower
642,background-sun,body-purple,spikes,roar-blue,eyes-tear,elements-horn,elements-firetail
643,background-themed,body-yellow,spikes,roar-yellow,eyes-1,elements-greenhat,elements-flower
644,background-red2,body-red,spikes,roar-rainbow,eyes-glasses6,elements-halo,elements-planet
645,background-lines,body-pink2,spikes,roar-blue2,eyes-glasses2,elements-bluehat,elements-flower
646,background-sun,body-green,spikes,roar-blue,eyes-glasses2,elements-crown,elements-planet
647,background-cyan,body-green,spikes,roar-drool,eyes-glasses1,elements-flower1,elements-flower
648,background-lines,body-blue,spikes,roar-tongue,eyes-2,elements-bluehat,elements-firetail
649,background-cyan,body-red,spikes,roar-purple,eyes-glasses3,elements-bluehat,elements-flower
650,background-red2,body-red,spikes,roar-pink,eyes-glasses2,elements-flower1,elements-firetail
651,background-fgdarkblue,body-green,spikes,roar-tongue,eyes-glasses4,elements-halo,elements-flower
652,background-cloud,body-green,spikes,roar-drool,eyes-tear,elements-flower1,elements-firetail
653,background-pink,body-green,spikes,roar-tongue2,eyes-glasses4,elements-bluehat,elements-flower
654,background-yellow,body-purple,spikes,roar-blue3,eyes-glasses1,elements-horn,elements-planet
655,background-purple2,body-pink,spikes,roar-green,eyes-glasses7,elements-flower1,elements-firetail
656,background-purple2,body-pink2,spikes,roar-blue2,eyes-glasses1,elements-bluehat,elements-planet
657,background-cyan,body-yellow,spikes,roar-flowers,eyes-glasses4,elements-flower1,elements-flower
658,background-pink2,body-cyan,spikes,roar-blue2,eyes-glasses3,elements-greenhat,elements-flower
659,background-cloud,body-red,spikes,roar-mask,eyes-glasses4,elements-flower1,elements-planet
660,background-themed,body-red,spikes,roar-drool,eyes-tear,elements-horn,elements-firetail
661,background-cloud,body-pink2,spikes,roar-blue3,eyes-2,elements-crown,elements-firetail
662,background-themed,body-orange,spikes,roar-yellow,eyes-glasses6,elements-horn,elements-flower
663,background-themed,body-red,spikes,roar-pink,eyes-glasses5,elements-horn,elements-planet
664,background-fgdarkblue,body-orange,spikes,roar-green,eyes-3,elements-halo,elements-flower
665,background-fgdarkblue,body-cyan,spikes,roar-fire,eyes-1,elements-bluehat,elements-planet
666,background-orange,body-blue,spikes,roar-rainbow,eyes-glasses4,elements-crown,elements-firetail
667,background-pink2,body-red,spikes,roar-blue2,eyes-glasses1,elements-horn,elements-flower
668,background-fgdarkblue,body-blue,spikes,roar-blue3,eyes-glasses7,elements-horn,elements-firetail
669,background-yellow,body-purple,spikes,roar-mask,eyes-glasses7,elements-crown,elements-planet
670,background-cyan,body-blue,spikes,roar-blue3,eyes-glasses7,elements-bluehat,elements-planet
671,background-sun,body-green,spikes,roar-fire,eyes-glasses6,elements-bluehat,elements-flower
672,background-themed,body-yellow,spikes,roar-rainbow,eyes-glasses5,elements-horn,elements-planet
673,background-blue,body-orange,spikes,roar-drool,eyes-tear,elements-flower1,elements-firetail
674,background-themed,body-red,spikes,roar-blue2,eyes-tear,elements-horn,elements-flower
675,background-fgdarkblue,body-yellow,spikes,roar-blue2,eyes-glasses5,elements-halo,elements-planet
676,background-themed,body-blue,spikes,roar-flowers,eyes-glasses6,elements-greenhat,elements-flower
677,background-fgdarkblue,body-purple,spikes,roar-drool,eyes-3,elements-greenhat,elements-planet
678,background-blue,body-red,spikes,roar-flowers,eyes-glasses7,elements-halo,elements-planet
679,background-lines,body-yellow,spikes,roar-mask,eyes-glasses2,elements-greenhat,elements-planet
680,background-pink2,body-blue,spikes,roar-blue3,eyes-glasses7,elements-horn,elements-flower
681,background-cloud,body-yellow,spikes,roar-green,eyes-tear,elements-horn,elements-flower
682,background-red2,body-yellow,spikes,roar-flowers,eyes-glasses5,elements-bluehat,elements-flower
683,background-themed,body-pink2,spikes,roar-blue2,eyes-tear,elements-flower1,elements-planet
684,background-cloud,body-orange,spikes,roar-rainbow,eyes-glasses5,elements-halo,elements-flower
685,background-cloud,body-red,spikes,roar-blue2,eyes-3,elements-horn,elements-firetail
686,background-cyan,body-blue,spikes,roar-mask,eyes-glasses6,elements-horn,elements-planet
687,background-yellow,body-blue,spikes,roar-blue,eyes-glasses2,elements-crown,elements-planet
688,background-yellow,body-yellow,spikes,roar-drool,eyes-glasses3,elements-greenhat,elements-flower
689,background-sun,body-green,spikes,roar-tongue2,eyes-glasses5,elements-bluehat,elements-planet
690,background-green,body-orange,spikes,roar-yellow,eyes-glasses5,elements-greenhat,elements-planet
691,background-lines,body-blue,spikes,roar-flowers,eyes-glasses3,elements-greenhat,elements-flower
692,background-sun,body-cyan,spikes,roar-blue,eyes-glasses4,elements-bluehat,elements-firetail
693,background-red2,body-pink2,spikes,roar-tongue,eyes-glasses2,elements-flower1,elements-firetail
694,background-green,body-cyan,spikes,roar-blue,eyes-2,elements-halo,elements-firetail
695,background-cloud,body-green,spikes,roar-tongue,eyes-2,elements-bluehat,elements-planet
696,background-cyan,body-pink2,spikes,roar-mask,eyes-glasses6,elements-horn,elements-flower
697,background-blue,body-yellow,spikes,roar-blue3,eyes-glasses1,elements-bluehat,elements-planet
698,background-themed,body-pink2,spikes,roar-blue,eyes-3,elements-halo,elements-flower
699,background-sun,body-orange,spikes,roar-green,eyes-glasses1,elements-bluehat,elements-planet
700,background-lines,body-pink,spikes,roar-purple,eyes-glasses2,elements-halo,elements-planet
701,background-pink2,body-pink,spikes,roar-pink,eyes-2,elements-bluehat,elements-planet
702,background-sun,body-yellow,spikes,roar-flowers,eyes-glasses2,elements-crown,elements-flower
703,background-purple2,body-blue,spikes,roar-tongue,eyes-glasses4,elements-greenhat,elements-planet
704,background-purple2,body-cyan,spikes,roar-yellow,eyes-glasses6,elements-bluehat,elements-flower
705,background-lines,body-cyan,spikes,roar-drool,eyes-glasses2,elements-greenhat,elements-planet
706,background-yellow,body-purple,spikes,roar-flowers,eyes-glasses1,elements-halo,elements-flower
707,background-pink2,body-pink2,spikes,roar-blue,eyes-1,elements-bluehat,elements-flower
708,background-cyan,body-pink,spikes,roar-rainbow,eyes-glasses7,elements-crown,elements-firetail
709,background-purple2,body-pink2,spikes,roar-yellow,eyes-3,elements-bluehat,elements-planet
710,background-blue,body-purple,spikes,roar-blue,eyes-1,elements-flower1,elements-planet
711,background-orange,body-pink,spikes,roar-drool,eyes-glasses6,elements-halo,elements-planet
712,background-orange,body-blue,spikes,roar-fire,eyes-glasses2,elements-flower1,elements-flower
713,background-lines,body-pink2,spikes,roar-blue3,eyes-2,elements-flower1,elements-firetail
714,background-lines,body-green,spikes,roar-rainbow,eyes-glasses4,elements-horn,elements-flower
715,background-green,body-red,spikes,roar-green,eyes-tear,elements-crown,elements-planet
716,background-red2,body-red,spikes,roar-drool,eyes-tear,elements-horn,elements-planet
717,background-purple2,body-yellow,spikes,roar-pink,eyes-2,elements-crown,elements-flower
718,background-cyan,body-blue,spikes,roar-tongue,eyes-glasses3,elements-greenhat,elements-planet
719,background-pink,body-pink2,spikes,roar-yellow,eyes-1,elements-halo,elements-planet
720,background-lines,body-purple,spikes,roar-drool,eyes-3,elements-flower1,elements-firetail
721,background-cyan,body-cyan,spikes,roar-flowers,eyes-glasses2,elements-flower1,elements-firetail
722,background-red2,body-blue,spikes,roar-green,eyes-1,elements-horn,elements-planet
723,background-themed,body-yellow,spikes,roar-pink,eyes-glasses6,elements-crown,elements-flower
724,background-cyan,body-cyan,spikes,roar-green,eyes-glasses4,elements-halo,elements-firetail
725,background-themed,body-green,spikes,roar-blue2,eyes-1,elements-halo,elements-planet
726,background-sun,body-pink2,spikes,roar-tongue,eyes-2,elements-horn,elements-planet
727,background-green,body-pink,spikes,roar-rainbow,eyes-glasses5,elements-flower1,elements-planet
728,background-pink,body-pink2,spikes,roar-flowers,eyes-tear,elements-greenhat,elements-flower
729,background-red2,body-orange,spikes,roar-blue3,eyes-glasses5,elements-greenhat,elements-flower
730,background-purple2,body-blue,spikes,roar-pink,eyes-tear,elements-bluehat,elements-firetail
731,background-cloud,body-orange,spikes,roar-blue2,eyes-glasses5,elements-crown,elements-firetail
732,background-lines,body-yellow,spikes,roar-blue3,eyes-glasses2,elements-bluehat,elements-flower
733,background-blue,body-purple,spikes,roar-blue3,eyes-glasses4,elements-flower1,elements-firetail
734,background-lines,body-purple,spikes,roar-blue,eyes-tear,elements-greenhat,elements-planet
735,background-pink2,body-green,spikes,roar-rainbow,eyes-glasses2,elements-greenhat,elements-planet
736,background-red2,body-yellow,spikes,roar-tongue2,eyes-3,elements-halo,elements-planet
737,background-fgdarkblue,body-orange,spikes,roar-tongue2,eyes-glasses2,elements-horn,elements-flower
738,background-blue,body-yellow,spikes,roar-tongue2,eyes-glasses6,elements-bluehat,elements-flower
739,background-blue,body-green,spikes,roar-rainbow,eyes-2,elements-bluehat,elements-firetail
740,background-cyan,body-pink,spikes,roar-purple,eyes-glasses1,elements-horn,elements-firetail
741,background-purple2,body-purple,spikes,roar-tongue,eyes-glasses5,elements-horn,elements-firetail
742,background-sun,body-cyan,spikes,roar-yellow,eyes-glasses2,elements-greenhat,elements-firetail
743,background-red2,body-purple,spikes,roar-pink,eyes-glasses2,elements-halo,elements-planet
744,background-lines,body-pink,spikes,roar-purple,eyes-glasses7,elements-flower1,elements-firetail
745,background-cloud,body-cyan,spikes,roar-blue3,eyes-2,elements-flower1,elements-flower
746,background-lines,body-pink2,spikes,roar-fire,eyes-glasses7,elements-horn,elements-firetail
747,background-green,body-pink,spikes,roar-rainbow,eyes-glasses4,elements-halo,elements-flower
748,background-themed,body-red,spikes,roar-mask,eyes-tear,elements-bluehat,elements-flower
749,background-orange,body-pink2,spikes,roar-pink,eyes-glasses4,elements-flower1,elements-flower
750,background-green,body-pink,spikes,roar-purple,eyes-glasses4,elements-crown,elements-planet
751,background-fgdarkblue,body-yellow,spikes,roar-blue3,eyes-glasses3,elements-horn,elements-flower
752,background-red2,body-red,spikes,roar-mask,eyes-glasses6,elements-bluehat,elements-firetail
753,background-cyan,body-pink,spikes,roar-mask,eyes-glasses2,elements-horn,elements-planet
754,background-orange,body-yellow,spikes,roar-tongue,eyes-glasses4,elements-halo,elements-planet
755,background-pink,body-purple,spikes,roar-fire,eyes-tear,elements-greenhat,elements-flower
756,background-sun,body-green,spikes,roar-flowers,eyes-glasses7,elements-bluehat,elements-flower
757,background-cloud,body-red,spikes,roar-rainbow,eyes-3,elements-bluehat,elements-flower
758,background-green,body-purple,spikes,roar-blue2,eyes-1,elements-halo,elements-flower
759,background-yellow,body-green,spikes,roar-purple,eyes-3,elements-halo,elements-firetail
760,background-fgdarkblue,body-pink,spikes,roar-drool,eyes-2,elements-flower1,elements-flower
761,background-yellow,body-red,spikes,roar-blue3,eyes-glasses3,elements-greenhat,elements-firetail
762,background-cloud,body-pink2,spikes,roar-purple,eyes-glasses2,elements-halo,elements-firetail
763,background-fgdarkblue,body-pink2,spikes,roar-tongue2,eyes-glasses7,elements-crown,elements-flower
764,background-orange,body-yellow,spikes,roar-drool,eyes-glasses2,elements-greenhat,elements-flower
765,background-blue,body-cyan,spikes,roar-rainbow,eyes-tear,elements-bluehat,elements-planet
766,background-cyan,body-red,spikes,roar-rainbow,eyes-glasses1,elements-greenhat,elements-planet
767,background-purple2,body-orange,spikes,roar-pink,eyes-1,elements-greenhat,elements-firetail
768,background-red2,body-cyan,spikes,roar-yellow,eyes-glasses6,elements-bluehat,elements-firetail
769,background-yellow,body-pink,spikes,roar-drool,eyes-glasses7,elements-horn,elements-flower
770,background-pink2,body-pink2,spikes,roar-blue,eyes-glasses2,elements-horn,elements-firetail
771,background-fgdarkblue,body-blue,spikes,roar-blue3,eyes-2,elements-flower1,elements-flower
772,background-lines,body-red,spikes,roar-green,eyes-3,elements-flower1,elements-planet
773,background-blue,body-cyan,spikes,roar-yellow,eyes-glasses7,elements-horn,elements-firetail
774,background-pink,body-purple,spikes,roar-pink,eyes-2,elements-horn,elements-firetail
775,background-themed,body-blue,spikes,roar-rainbow,eyes-glasses1,elements-horn,elements-flower
776,background-pink,body-pink,spikes,roar-blue2,eyes-glasses6,elements-bluehat,elements-planet
777,background-sun,body-yellow,spikes,roar-yellow,eyes-glasses6,elements-greenhat,elements-planet
778,background-pink,body-orange,spikes,roar-purple,eyes-3,elements-crown,elements-flower
779,background-yellow,body-yellow,spikes,roar-tongue2,eyes-glasses6,elements-halo,elements-flower
780,background-lines,body-blue,spikes,roar-tongue2,eyes-glasses1,elements-crown,elements-firetail
781,background-yellow,body-orange,spikes,roar-pink,eyes-3,elements-halo,elements-planet
782,background-red2,body-blue,spikes,roar-rainbow,eyes-glasses1,elements-crown,elements-firetail
783,background-lines,body-yellow,spikes,roar-tongue,eyes-glasses6,elements-halo,elements-firetail
784,background-sun,body-yellow,spikes,roar-flowers,eyes-tear,elements-greenhat,elements-planet
785,background-purple2,body-orange,spikes,roar-rainbow,eyes-2,elements-flower1,elements-flower
786,background-yellow,body-yellow,spikes,roar-mask,eyes-glasses4,elements-horn,elements-firetail
787,background-lines,body-orange,spikes,roar-tongue,eyes-glasses3,elements-halo,elements-firetail
788,background-themed,body-pink,spikes,roar-blue2,eyes-glasses5,elements-halo,elements-planet
789,background-lines,body-purple,spikes,roar-flowers,eyes-tear,elements-greenhat,elements-firetail
790,background-sun,body-blue,spikes,roar-tongue,eyes-glasses6,elements-flower1,elements-flower
791,background-cloud,body-blue,spikes,roar-blue2,eyes-1,elements-flower1,elements-flower
792,background-purple2,body-green,spikes,roar-tongue2,eyes-glasses5,elements-crown,elements-planet
793,background-cloud,body-purple,spikes,roar-tongue,eyes-glasses3,elements-greenhat,elements-planet
794,background-purple2,body-pink2,spikes,roar-blue,eyes-glasses2,elements-crown,elements-flower
795,background-pink2,body-pink,spikes,roar-tongue2,eyes-glasses2,elements-halo,elements-firetail
796,background-sun,body-cyan,spikes,roar-drool,eyes-glasses6,elements-bluehat,elements-flower
797,background-purple2,body-green,spikes,roar-mask,eyes-glasses1,elements-flower1,elements-firetail
798,background-cyan,body-orange,spikes,roar-mask,eyes-glasses4,elements-greenhat,elements-firetail
799,background-blue,body-yellow,spikes,roar-blue3,eyes-3,elements-bluehat,elements-firetail
800,background-pink2,body-yellow,spikes,roar-tongue2,eyes-1,elements-flower1,elements-planet
801,background-blue,body-red,spikes,roar-green,eyes-1,elements-horn,elements-flower
802,background-orange,body-blue,spikes,roar-pink,eyes-glasses1,elements-bluehat,elements-flower
803,background-sun,body-green,spikes,roar-pink,eyes-glasses2,elements-crown,elements-flower
804,background-green,body-yellow,spikes,roar-pink,eyes-glasses3,elements-bluehat,elements-flower
805,background-pink2,body-pink,spikes,roar-flowers,eyes-glasses4,elements-crown,elements-flower
806,background-blue,body-red,spikes,roar-rainbow,eyes-1,elements-crown,elements-firetail
807,background-purple2,body-pink2,spikes,roar-green,eyes-tear,elements-halo,elements-planet
808,background-yellow,body-cyan,spikes,roar-flowers,eyes-glasses2,elements-halo,elements-firetail
809,background-themed,body-yellow,spikes,roar-mask,eyes-glasses6,elements-crown,elements-planet
810,background-pink,body-purple,spikes,roar-green,eyes-3,elements-halo,elements-flower
811,background-cyan,body-red,spikes,roar-blue,eyes-glasses6,elements-flower1,elements-flower
812,background-blue,body-cyan,spikes,roar-drool,eyes-glasses3,elements-halo,elements-firetail
813,background-lines,body-red,spikes,roar-blue,eyes-glasses5,elements-halo,elements-flower
814,background-pink2,body-blue,spikes,roar-blue2,eyes-glasses6,elements-greenhat,elements-planet
815,background-red2,body-red,spikes,roar-tongue2,eyes-1,elements-greenhat,elements-firetail
816,background-orange,body-red,spikes,roar-purple,eyes-glasses5,elements-greenhat,elements-planet
817,background-fgdarkblue,body-purple,spikes,roar-blue2,eyes-glasses2,elements-flower1,elements-firetail
818,background-cloud,body-orange,spikes,roar-yellow,eyes-glasses4,elements-bluehat,elements-planet
819,background-cloud,body-green,spikes,roar-rainbow,eyes-tear,elements-flower1,elements-firetail
820,background-lines,body-yellow,spikes,roar-rainbow,eyes-glasses7,elements-crown,elements-firetail
821,background-red2,body-pink2,spikes,roar-blue3,eyes-glasses2,elements-horn,elements-planet
822,background-pink2,body-red,spikes,roar-green,eyes-3,elements-bluehat,elements-firetail
823,background-blue,body-pink,spikes,roar-drool,eyes-glasses6,elements-horn,elements-flower
824,background-yellow,body-orange,spikes,roar-tongue2,eyes-glasses3,elements-horn,elements-firetail
825,background-pink2,body-purple,spikes,roar-fire,eyes-glasses1,elements-greenhat,elements-firetail
826,background-orange,body-green,spikes,roar-fire,eyes-2,elements-horn,elements-planet
827,background-cyan,body-pink,spikes,roar-fire,eyes-tear,elements-crown,elements-firetail
828,background-sun,body-purple,spikes,roar-purple,eyes-tear,elements-bluehat,elements-flower
829,background-cloud,body-pink,spikes,roar-blue,eyes-2,elements-horn,elements-flower
830,background-lines,body-green,spikes,roar-tongue2,eyes-glasses1,elements-greenhat,elements-firetail
831,background-green,body-purple,spikes,roar-blue,eyes-glasses5,elements-crown,elements-firetail
832,background-themed,body-blue,spikes,roar-drool,eyes-1,elements-greenhat,elements-planet
833,background-cyan,body-pink2,spikes,roar-green,eyes-glasses5,elements-flower1,elements-flower
834,background-yellow,body-red,spikes,roar-yellow,eyes-glasses6,elements-bluehat,elements-planet
835,background-fgdarkblue,body-pink2,spikes,roar-fire,eyes-glasses6,elements-flower1,elements-flower
836,background-sun,body-blue,spikes,roar-tongue2,eyes-glasses2,elements-crown,elements-flower
837,background-sun,body-green,spikes,roar-mask,eyes-glasses4,elements-halo,elements-planet
838,background-orange,body-pink,spikes,roar-rainbow,eyes-glasses5,elements-halo,elements-firetail
839,background-cloud,body-red,spikes,roar-blue,eyes-3,elements-crown,elements-firetail
840,background-green,body-cyan,spikes,roar-purple,eyes-glasses3,elements-greenhat,elements-flower
841,background-orange,body-green,spikes,roar-flowers,eyes-glasses4,elements-horn,elements-planet
842,background-yellow,body-pink2,spikes,roar-yellow,eyes-3,elements-halo,elements-planet
843,background-blue,body-orange,spikes,roar-purple,eyes-glasses6,elements-halo,elements-firetail
844,background-pink,body-blue,spikes,roar-tongue2,eyes-glasses5,elements-greenhat,elements-planet
845,background-yellow,body-orange,spikes,roar-tongue2,eyes-1,elements-flower1,elements-firetail
846,background-sun,body-blue,spikes,roar-fire,eyes-2,elements-crown,elements-firetail
847,background-blue,body-pink2,spikes,roar-purple,eyes-glasses4,elements-greenhat,elements-flower
848,background-red2,body-red,spikes,roar-purple,eyes-glasses5,elements-halo,elements-planet
849,background-red2,body-pink,spikes,roar-flowers,eyes-glasses2,elements-halo,elements-flower
850,background-green,body-purple,spikes,roar-yellow,eyes-glasses7,elements-bluehat,elements-firetail
851,background-sun,body-purple,spikes,roar-rainbow,eyes-glasses5,elements-halo,elements-planet
852,background-red2,body-cyan,spikes,roar-flowers,eyes-glasses3,elements-crown,elements-flower
853,background-themed,body-purple,spikes,roar-rainbow,eyes-glasses3,elements-flower1,elements-firetail
854,background-blue,body-red,spikes,roar-blue3,eyes-glasses2,elements-crown,elements-firetail
855,background-fgdarkblue,body-cyan,spikes,roar-mask,eyes-1,elements-horn,elements-flower
856,background-sun,body-orange,spikes,roar-tongue2,eyes-glasses4,elements-bluehat,elements-flower
857,background-cloud,body-cyan,spikes,roar-drool,eyes-tear,elements-flower1,elements-planet
858,background-lines,body-pink2,spikes,roar-yellow,eyes-glasses7,elements-flower1,elements-flower
859,background-orange,body-orange,spikes,roar-blue3,eyes-glasses3,elements-horn,elements-firetail
860,background-blue,body-green,spikes,roar-purple,eyes-glasses3,elements-greenhat,elements-firetail
861,background-lines,body-pink,spikes,roar-pink,eyes-glasses1,elements-crown,elements-firetail
862,background-fgdarkblue,body-red,spikes,roar-purple,eyes-glasses3,elements-bluehat,elements-planet
863,background-fgdarkblue,body-red,spikes,roar-tongue,eyes-glasses5,elements-flower1,elements-planet
864,background-cloud,body-pink,spikes,roar-tongue2,eyes-glasses6,elements-halo,elements-planet
865,background-cyan,body-purple,spikes,roar-blue2,eyes-glasses1,elements-greenhat,elements-flower
866,background-pink,body-green,spikes,roar-flowers,eyes-1,elements-bluehat,elements-firetail
867,background-cloud,body-yellow,spikes,roar-fire,eyes-glasses7,elements-greenhat,elements-planet
868,background-themed,body-yellow,spikes,roar-yellow,eyes-2,elements-flower1,elements-planet
869,background-fgdarkblue,body-yellow,spikes,roar-blue,eyes-3,elements-flower1,elements-flower
870,background-pink2,body-green,spikes,roar-purple,eyes-glasses1,elements-flower1,elements-flower
871,background-lines,body-red,spikes,roar-drool,eyes-glasses4,elements-greenhat,elements-planet
872,background-blue,body-orange,spikes,roar-tongue,eyes-tear,elements-crown,elements-planet
873,background-lines,body-blue,spikes,roar-mask,eyes-glasses3,elements-halo,elements-planet
874,background-green,body-blue,spikes,roar-mask,eyes-glasses6,elements-bluehat,elements-firetail
875,background-yellow,body-green,spikes,roar-pink,eyes-2,elements-bluehat,elements-planet
876,background-orange,body-green,spikes,roar-yellow,eyes-glasses5,elements-greenhat,elements-planet
877,background-themed,body-yellow,spikes,roar-green,eyes-2,elements-halo,elements-firetail
878,background-sun,body-green,spikes,roar-fire,eyes-glasses5,elements-greenhat,elements-firetail
879,background-yellow,body-yellow,spikes,roar-rainbow,eyes-glasses3,elements-halo,elements-firetail
880,background-themed,body-red,spikes,roar-drool,eyes-glasses2,elements-bluehat,elements-planet
881,background-cyan,body-pink2,spikes,roar-pink,eyes-glasses5,elements-bluehat,elements-firetail
882,background-green,body-pink,spikes,roar-yellow,eyes-glasses4,elements-flower1,elements-flower
883,background-cloud,body-green,spikes,roar-mask,eyes-glasses6,elements-crown,elements-flower
884,background-fgdarkblue,body-orange,spikes,roar-flowers,eyes-2,elements-halo,elements-firetail
885,background-green,body-pink2,spikes,roar-blue3,eyes-glasses2,elements-crown,elements-firetail
886,background-yellow,body-red,spikes,roar-blue2,eyes-glasses4,elements-halo,elements-flower
887,background-fgdarkblue,body-yellow,spikes,roar-blue2,eyes-3,elements-bluehat,elements-firetail
888,background-cloud,body-purple,spikes,roar-blue3,eyes-glasses3,elements-bluehat,elements-planet
889,background-cloud,body-orange,spikes,roar-purple,eyes-glasses7,elements-greenhat,elements-planet
890,background-pink,body-pink,spikes,roar-fire,eyes-glasses6,elements-horn,elements-planet
891,background-fgdarkblue,body-cyan,spikes,roar-tongue2,eyes-glasses2,elements-flower1,elements-firetail
892,background-sun,body-pink,spikes,roar-fire,eyes-glasses4,elements-greenhat,elements-planet
893,background-sun,body-pink2,spikes,roar-tongue2,eyes-tear,elements-flower1,elements-planet
894,background-cloud,body-green,spikes,roar-rainbow,eyes-1,elements-halo,elements-planet
895,background-fgdarkblue,body-blue,spikes,roar-blue,eyes-glasses5,elements-crown,elements-firetail
896,background-cloud,body-orange,spikes,roar-yellow,eyes-1,elements-bluehat,elements-flower
897,background-cyan,body-green,spikes,roar-yellow,eyes-glasses3,elements-greenhat,elements-planet
898,background-orange,body-green,spikes,roar-blue,eyes-3,elements-bluehat,elements-firetail
899,background-sun,body-pink2,spikes,roar-rainbow,eyes-1,elements-crown,elements-planet
900,background-green,body-pink,spikes,roar-rainbow,eyes-2,elements-greenhat,elements-flower
901,background-cyan,body-pink,spikes,roar-tongue2,eyes-glasses3,elements-halo,elements-planet
902,background-red2,body-pink2,spikes,roar-blue3,eyes-1,elements-greenhat,elements-flower
903,background-red2,body-pink,spikes,roar-drool,eyes-glasses1,elements-bluehat,elements-flower
904,background-blue,body-cyan,spikes,roar-purple,eyes-glasses7,elements-horn,elements-planet
905,background-red2,body-green,spikes,roar-tongue2,eyes-glasses4,elements-halo,elements-firetail
906,background-cloud,body-purple,spikes,roar-purple,eyes-glasses7,elements-crown,elements-planet
907,background-fgdarkblue,body-orange,spikes,roar-blue2,eyes-glasses6,elements-bluehat,elements-flower
908,background-themed,body-pink,spikes,roar-pink,eyes-glasses1,elements-halo,elements-flower
909,background-fgdarkblue,body-blue,spikes,roar-blue,eyes-1,elements-bluehat,elements-flower
910,background-cloud,body-purple,spikes,roar-mask,eyes-3,elements-greenhat,elements-planet
911,background-blue,body-red,spikes,roar-green,eyes-2,elements-bluehat,elements-flower
912,background-purple2,body-yellow,spikes,roar-tongue2,eyes-glasses1,elements-flower1,elements-firetail
913,background-lines,body-cyan,spikes,roar-yellow,eyes-glasses6,elements-flower1,elements-planet
914,background-pink,body-cyan,spikes,roar-drool,eyes-glasses2,elements-flower1,elements-planet
915,background-cloud,body-pink,spikes,roar-blue,eyes-glasses6,elements-bluehat,elements-flower
916,background-pink,body-red,spikes,roar-mask,eyes-glasses1,elements-crown,elements-flower
917,background-cyan,body-blue,spikes,roar-tongue,eyes-glasses4,elements-greenhat,elements-planet
918,background-orange,body-blue,spikes,roar-drool,eyes-glasses6,elements-bluehat,elements-planet
919,background-pink,body-pink,spikes,roar-tongue,eyes-tear,elements-halo,elements-firetail
920,background-fgdarkblue,body-green,spikes,roar-mask,eyes-glasses2,elements-bluehat,elements-flower
921,background-themed,body-cyan,spikes,roar-fire,eyes-3,elements-bluehat,elements-planet
922,background-pink2,body-pink2,spikes,roar-purple,eyes-3,elements-halo,elements-flower
923,background-red2,body-yellow,spikes,roar-blue,eyes-2,elements-bluehat,elements-firetail
924,background-fgdarkblue,body-green,spikes,roar-flowers,eyes-3,elements-flower1,elements-flower
925,background-yellow,body-red,spikes,roar-drool,eyes-1,elements-horn,elements-firetail
926,background-cloud,body-red,spikes,roar-yellow,eyes-glasses2,elements-halo,elements-planet
927,background-blue,body-pink2,spikes,roar-purple,eyes-glasses1,elements-crown,elements-flower
928,background-pink2,body-blue,spikes,roar-blue2,eyes-glasses5,elements-bluehat,elements-flower
929,background-purple2,body-pink,spikes,roar-tongue2,eyes-glasses7,elements-greenhat,elements-planet
930,background-purple2,body-yellow,spikes,roar-blue3,eyes-glasses1,elements-bluehat,elements-planet
931,background-fgdarkblue,body-pink,spikes,roar-yellow,eyes-glasses3,elements-halo,elements-flower
932,background-cloud,body-yellow,spikes,roar-flowers,eyes-tear,elements-horn,elements-firetail
933,background-cloud,body-pink,spikes,roar-blue2,eyes-glasses4,elements-crown,elements-planet
934,background-pink,body-orange,spikes,roar-tongue,eyes-tear,elements-horn,elements-planet
935,background-sun,body-pink,spikes,roar-drool,eyes-glasses3,elements-bluehat,elements-firetail
936,background-red2,body-pink,spikes,roar-tongue,eyes-glasses5,elements-greenhat,elements-firetail
